bisecting_strategy	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
biggest_inertia	20	0.313	1.506	161.136
biggest_inertia	40	0.379	1.412	131.403
biggest_inertia	60	0.411	1.387	115.135
biggest_inertia	80	0.447	1.333	106.507
biggest_inertia	100	0.473	1.249	101.46
biggest_inertia	120	0.493	1.165	99.37
biggest_inertia	140	0.514	1.096	100.707
biggest_inertia	160	0.531	1.018	104.153
biggest_inertia	180	0.544	0.964	107.075
biggest_inertia	200	0.553	0.902	111.767
biggest_inertia	220	0.564	0.837	119.183
biggest_inertia	240	0.575	0.773	130.426
biggest_inertia	260	0.584	0.711	145.524
biggest_inertia	280	0.59	0.658	164.456
biggest_inertia	300	0.597	0.593	194.159
biggest_inertia	320	0.603	0.537	234.154
biggest_inertia	340	0.609	0.475	294.423
biggest_inertia	360	0.614	0.413	389.643
biggest_inertia	380	0.62	0.36	553.904
biggest_inertia	400	0.623	0.304	859.028
biggest_inertia	420	0.627	0.247	1584.692
biggest_inertia	440	0.627	0.184	4326.732
biggest_inertia	460	0.622	0.107	658910918863.64
biggest_inertia	480	0.618	0.011	5939817337563.704
biggest_inertia	500	0.618	0.0	6526173678420.569
biggest_inertia	520	0.618	0.0	6526173678420.569
biggest_inertia	540	0.618	0.0	6526173678420.569
biggest_inertia	560	0.618	0.0	6526173678420.569
biggest_inertia	580	0.618	0.0	6526173678420.569
biggest_inertia	600	0.618	0.0	6526173678420.569
