init	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
k-means++	10	0.323	1.258	246.966
k-means++	20	0.365	1.307	203.254
k-means++	30	0.403	1.285	178.147
k-means++	40	0.42	1.266	160.933
k-means++	50	0.443	1.237	149.23
k-means++	60	0.458	1.214	143.276
k-means++	70	0.475	1.188	138.534
k-means++	80	0.495	1.17	134.066
k-means++	90	0.512	1.124	130.806
k-means++	100	0.526	1.078	129.32
k-means++	110	0.533	1.037	127.35
k-means++	120	0.54	0.992	126.642
k-means++	130	0.545	0.963	125.625
k-means++	140	0.552	0.916	125.725
k-means++	150	0.56	0.888	126.544
k-means++	160	0.566	0.848	128.06
k-means++	170	0.57	0.81	130.037
k-means++	180	0.575	0.776	132.514
k-means++	190	0.579	0.743	135.85
k-means++	200	0.583	0.714	138.823
k-means++	210	0.586	0.684	143.2
k-means++	220	0.59	0.656	148.646
k-means++	230	0.592	0.633	154.106
k-means++	240	0.596	0.61	160.75
k-means++	250	0.598	0.586	167.572
k-means++	260	0.6	0.561	176.49
k-means++	270	0.603	0.534	186.61
k-means++	280	0.604	0.514	198.339
k-means++	290	0.604	0.492	212.326
k-means++	300	0.606	0.467	229.982
k-means++	310	0.608	0.445	249.778
k-means++	320	0.61	0.423	275.082
k-means++	330	0.611	0.396	307.562
k-means++	340	0.613	0.375	346.454
k-means++	350	0.616	0.351	397.312
k-means++	360	0.617	0.329	457.418
k-means++	370	0.618	0.306	530.964
k-means++	380	0.618	0.283	628.366
k-means++	390	0.619	0.263	761.225
k-means++	400	0.621	0.245	945.198
k-means++	410	0.622	0.231	1232.03
k-means++	420	0.623	0.21	1675.519
k-means++	430	0.623	0.187	2525.005
k-means++	440	0.625	0.164	4624.001
k-means++	450	0.622	0.133	19058.499
k-means++	460	0.61	0.111	1803034968008.898
k-means++	470	0.602	0.056	4486760481910.2
k-means++	480	0.553	0.034	11466124318770.137
k-means++	490	0.539	0.05	13321768073128.234
k-means++	500	0.543	0.038	13808053750749.59
k-means++	510	0.498	0.056	16524543340349.725
k-means++	520	0.549	0.039	11352030475658.041
k-means++	530	0.53	0.045	11745042063083.49
k-means++	540	0.497	0.065	13373595751490.86
k-means++	550	0.489	0.059	14493990723073.703
k-means++	560	0.506	0.052	11029572915355.19
k-means++	570	0.53	0.056	10733601908629.824
k-means++	580	0.521	0.04	10655070531994.793
k-means++	590	0.542	0.026	9258990746283.771
k-means++	600	0.511	0.038	9567527544955.348
random	10	0.332	1.214	253.03
random	20	0.366	1.361	198.591
random	30	0.393	1.314	170.633
random	40	0.418	1.287	154.021
random	50	0.431	1.23	141.503
random	60	0.441	1.22	132.026
random	70	0.465	1.133	127.566
random	80	0.477	1.124	122.18
random	90	0.482	1.092	117.138
random	100	0.48	1.107	113.841
random	110	0.499	1.051	112.148
random	120	0.511	0.996	110.185
random	130	0.519	0.963	109.807
random	140	0.514	0.962	109.48
random	150	0.529	0.908	109.956
random	160	0.521	0.895	110.777
random	170	0.503	0.902	112.341
random	180	0.539	0.854	115.329
random	190	0.556	0.827	117.009
random	200	0.534	0.815	118.608
random	210	0.559	0.75	122.713
random	220	0.541	0.759	125.899
random	230	0.553	0.725	131.005
random	240	0.565	0.677	136.089
random	250	0.568	0.679	141.871
random	260	0.568	0.691	150.998
random	270	0.557	0.636	157.332
random	280	0.56	0.621	167.644
random	290	0.581	0.573	179.369
random	300	0.57	0.564	191.348
random	310	0.586	0.53	209.944
random	320	0.576	0.52	227.468
random	330	0.558	0.515	247.749
random	340	0.576	0.473	276.943
random	350	0.537	0.491	312.751
random	360	0.543	0.449	358.431
random	370	0.588	0.396	420.765
random	380	0.55	0.393	487.768
random	390	0.525	0.38	571.124
random	400	0.525	0.365	698.403
random	410	0.552	0.326	910.966
random	420	0.554	0.304	1222.913
random	430	0.595	0.239	1864.635
random	440	0.591	0.215	3125.79
random	450	0.547	0.215	7699.41
random	460	0.576	0.145	2036577821994.034
random	470	0.573	0.087	4113474182531.768
random	480	0.548	0.041	10604373041764.707
random	490	0.499	0.066	14499741654737.178
random	500	0.515	0.044	14964597876352.441
random	510	0.48	0.084	16039903464097.324
random	520	0.521	0.04	11924020583019.723
random	530	0.518	0.036	10910951510094.645
random	540	0.494	0.055	11419781526605.01
random	550	0.485	0.068	13764750923106.264
random	560	0.5	0.066	12356265947773.387
random	570	0.48	0.072	12512446284620.105
random	580	0.48	0.058	11871423569718.09
random	590	0.495	0.038	8910071541147.336
random	600	0.543	0.024	6426431657395.862
