bandwidth	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.05	0.618	0.0	6526173678420.569
0.1	0.618	0.025	738117675824.858
0.15	0.618	0.025	738117675824.858
0.2	0.618	0.069	85036.034
0.25	0.619	0.077	50695.672
0.3	0.619	0.119	9778.116
0.35	0.618	0.129	6439.345
0.4	0.617	0.148	3358.993
0.45	0.614	0.175	1591.609
0.5	0.593	0.217	682.056
0.55	0.587	0.233	515.101
0.6	0.578	0.263	341.094
0.65	0.568	0.274	278.818
0.7	0.559	0.305	221.643
0.75	0.559	0.319	196.565
0.8	0.56	0.341	178.253
0.85	0.553	0.374	159.248
0.9	0.548	0.404	142.501
0.95	0.531	0.435	115.42
1.0	0.528	0.449	105.891
1.05	0.518	0.498	97.172
1.1	0.51	0.528	87.765
1.15	0.497	0.562	80.537
1.2	0.483	0.593	75.866
1.25	0.45	0.633	69.888
1.3	0.424	0.667	66.037
1.35	0.376	0.697	57.103
1.4	0.363	0.706	57.268
1.45	0.364	0.743	60.516
1.5	0.391	0.766	70.417
1.55	0.384	0.76	71.665
1.6	0.362	0.847	72.082
1.65	0.314	0.907	64.147
1.7	0.306	0.961	68.218
1.75	0.288	1.031	68.43
1.8	0.282	1.078	72.986
1.85	0.284	1.069	76.879
1.9	0.285	1.172	83.791
1.95	0.275	1.198	83.818
2.0	0.279	1.227	92.665
